run_id,label,n,ods,gap_var,first_half_ods
baseline_offcore_000,BASELINE,20,0.005263,0.094183,0.022222
baseline_offcore_001,BASELINE,20,0,0,0
baseline_offcore_002,BASELINE,20,0,0,0
baseline_offcore_003,BASELINE,20,0,0,0
baseline_offcore_004,BASELINE,20,0.010526,0.238227,0.044444
baseline_offcore_005,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_006,BASELINE,20,0,0,0
baseline_offcore_007,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_008,BASELINE,20,0,0,0
baseline_offcore_009,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_010,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_011,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_012,BASELINE,20,0,0,0
baseline_offcore_013,BASELINE,20,0.005263,0.094183,0.022222
baseline_offcore_014,BASELINE,20,0,0,0
baseline_offcore_015,BASELINE,20,0,0,0
baseline_offcore_016,BASELINE,20,0,0,0
baseline_offcore_017,BASELINE,20,0.026316,0.243767,0.066667
baseline_offcore_018,BASELINE,20,0.005263,0.094183,0
baseline_offcore_019,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_020,BASELINE,20,0.010526,0.132964,0.044444
baseline_offcore_021,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_022,BASELINE,20,0.005263,0.094183,0.022222
baseline_offcore_023,BASELINE,20,0,0,0
baseline_offcore_024,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_025,BASELINE,20,0,0,0
baseline_offcore_026,BASELINE,20,0,0,0
baseline_offcore_027,BASELINE,20,0.005263,0.094183,0
baseline_offcore_028,BASELINE,20,0.005263,0.094183,0.022222
baseline_offcore_029,BASELINE,20,0.005263,0.094183,0.022222
baseline_offcore_030,BASELINE,20,0.005263,0.094183,0.022222
baseline_offcore_031,BASELINE,20,0.005263,0.094183,0.022222
baseline_offcore_032,BASELINE,20,0,0,0
baseline_offcore_033,BASELINE,20,0,0,0
baseline_offcore_034,BASELINE,20,0.010526,0.132964,0.044444
baseline_offcore_035,BASELINE,20,0,0,0
baseline_offcore_036,BASELINE,20,0.005263,0.094183,0.022222
baseline_offcore_037,BASELINE,20,0.010526,0.238227,0.044444
baseline_offcore_038,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_039,BASELINE,20,0.005263,0.094183,0.022222
baseline_offcore_040,BASELINE,20,0,0,0
baseline_offcore_041,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_042,BASELINE,20,0,0,0
baseline_offcore_043,BASELINE,20,0.005263,0.049861,0
baseline_offcore_044,BASELINE,20,0,0,0
baseline_offcore_045,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_046,BASELINE,20,0,0,0
baseline_offcore_047,BASELINE,20,0.010526,0.132964,0.044444
baseline_offcore_048,BASELINE,20,0.010526,0.238227,0.044444
baseline_offcore_049,BASELINE,20,0.010526,0.271468,0.044444
baseline_offcore_050,BASELINE,20,0.005263,0.094183,0.022222
baseline_offcore_051,BASELINE,20,0,0,0
baseline_offcore_052,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_053,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_054,BASELINE,20,0.015789,0.299169,0.066667
baseline_offcore_055,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_056,BASELINE,20,0,0,0
baseline_offcore_057,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_058,BASELINE,20,0.005263,0.094183,0.022222
baseline_offcore_059,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_060,BASELINE,20,0.010526,0.238227,0.044444
baseline_offcore_061,BASELINE,20,0.015789,0.299169,0.022222
baseline_offcore_062,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_063,BASELINE,20,0.015789,0.299169,0.066667
baseline_offcore_064,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_065,BASELINE,20,0.010526,0.238227,0.044444
baseline_offcore_066,BASELINE,20,0.015789,0.216066,0.022222
baseline_offcore_067,BASELINE,20,0.005263,0.049861,0.022222
baseline_offcore_068,BASELINE,20,0.005263,0.049861,0.022222
