run_id,label,n,ods,gap_var,first_half_ods,scrub_window,scrub_seed
cpu_ovh_000,CPU_OVH,20,0.273684,6.653740,0.622222,12,42
cpu_ovh_001,CPU_OVH,20,0.263158,6.759003,0.622222,12,42
cpu_ovh_002,CPU_OVH,20,0.268421,5.667590,0.600000,12,42
cpu_ovh_003,CPU_OVH,20,0.263158,6.216066,0.577778,12,42
cpu_ovh_004,CPU_OVH,20,0.263158,7.301939,0.600000,12,42
cpu_ovh_005,CPU_OVH,20,0.252632,6.404432,0.555556,12,42
cpu_ovh_006,CPU_OVH,20,0.273684,6.775623,0.600000,12,42
cpu_ovh_007,CPU_OVH,20,0.268421,6.969529,0.600000,12,42
cpu_ovh_008,CPU_OVH,20,0.257895,6.559557,0.555556,12,42
cpu_ovh_009,CPU_OVH,20,0.252632,6.110803,0.600000,12,42
cpu_ovh_010,CPU_OVH,20,0.257895,7.601108,0.600000,12,42
cpu_ovh_011,CPU_OVH,20,0.263158,6.321330,0.600000,12,42
cpu_ovh_012,CPU_OVH,20,0.278947,6.509695,0.622222,12,42
cpu_ovh_013,CPU_OVH,20,0.263158,6.349030,0.600000,12,42
cpu_ovh_014,CPU_OVH,20,0.268421,5.955679,0.622222,12,42
cpu_ovh_015,CPU_OVH,20,0.263158,6.620499,0.600000,12,42
cpu_ovh_016,CPU_OVH,20,0.268421,6.759003,0.622222,12,42
cpu_ovh_017,CPU_OVH,20,0.263158,5.927978,0.577778,12,42
cpu_ovh_018,CPU_OVH,20,0.263158,6.565097,0.600000,12,42
cpu_ovh_019,CPU_OVH,20,0.263158,6.005540,0.622222,12,42
cpu_ovh_020,CPU_OVH,20,0.273684,5.878116,0.622222,12,42
cpu_ovh_021,CPU_OVH,20,0.278947,6.166205,0.644444,12,42
cpu_ovh_022,CPU_OVH,20,0.278947,6.509695,0.622222,12,42
cpu_ovh_023,CPU_OVH,20,0.257895,5.955679,0.600000,12,42
cpu_ovh_024,CPU_OVH,20,0.273684,6.559557,0.622222,12,42
cpu_ovh_025,CPU_OVH,20,0.273684,5.817175,0.600000,12,42
cpu_ovh_026,CPU_OVH,20,0.263158,6.565097,0.622222,12,42
cpu_ovh_027,CPU_OVH,20,0.247368,6.321330,0.600000,12,42
cpu_ovh_028,CPU_OVH,20,0.263158,5.706371,0.600000,12,42
cpu_ovh_029,CPU_OVH,20,0.263158,6.759003,0.622222,12,42
cpu_ovh_030,CPU_OVH,20,0.257895,5.562327,0.577778,12,42
cpu_ovh_031,CPU_OVH,20,0.273684,6.088643,0.622222,12,42
cpu_ovh_032,CPU_OVH,20,0.257895,6.349030,0.577778,12,42
cpu_ovh_033,CPU_OVH,20,0.257895,6.980609,0.600000,12,42
cpu_ovh_034,CPU_OVH,20,0.278947,6.193906,0.644444,12,42
cpu_ovh_035,CPU_OVH,20,0.268421,6.232687,0.622222,12,42
cpu_ovh_036,CPU_OVH,20,0.278947,6.759003,0.622222,12,42
cpu_ovh_037,CPU_OVH,20,0.263158,6.653740,0.600000,12,42
cpu_ovh_038,CPU_OVH,20,0.257895,5.689751,0.555556,12,42
