run_id,label,n,ods,gap_var,first_half_ods,scrub_window,scrub_seed
mem_ovh_000,MEM_OVH,20,0.194737,5.673130,0.444444,8,42
mem_ovh_001,MEM_OVH,20,0.194737,6.132964,0.422222,8,42
mem_ovh_002,MEM_OVH,20,0.194737,7.246537,0.400000,8,42
mem_ovh_003,MEM_OVH,20,0.194737,6.659280,0.422222,8,42
mem_ovh_004,MEM_OVH,20,0.200000,5.185596,0.444444,8,42
mem_ovh_005,MEM_OVH,20,0.210526,6.481994,0.466667,8,42
mem_ovh_006,MEM_OVH,20,0.189474,5.534626,0.422222,8,42
mem_ovh_007,MEM_OVH,20,0.189474,5.667590,0.400000,8,42
mem_ovh_008,MEM_OVH,20,0.194737,5.185596,0.422222,8,42
mem_ovh_009,MEM_OVH,20,0.194737,6.299169,0.422222,8,42
mem_ovh_010,MEM_OVH,20,0.194737,6.193906,0.422222,8,42
mem_ovh_011,MEM_OVH,20,0.184211,5.429363,0.377778,8,42
mem_ovh_012,MEM_OVH,20,0.194737,5.351801,0.422222,8,42
mem_ovh_013,MEM_OVH,20,0.189474,5.795014,0.422222,8,42
mem_ovh_014,MEM_OVH,20,0.210526,6.930748,0.422222,8,42
mem_ovh_015,MEM_OVH,20,0.200000,6.216066,0.422222,8,42
mem_ovh_016,MEM_OVH,20,0.194737,6.637119,0.422222,8,42
mem_ovh_017,MEM_OVH,20,0.194737,6.637119,0.422222,8,42
mem_ovh_018,MEM_OVH,20,0.189474,6.005540,0.400000,8,42
mem_ovh_019,MEM_OVH,20,0.194737,5.900277,0.422222,8,42
mem_ovh_020,MEM_OVH,20,0.189474,6.404432,0.400000,8,42
mem_ovh_021,MEM_OVH,20,0.200000,6.426593,0.422222,8,42
mem_ovh_022,MEM_OVH,20,0.184211,5.850416,0.400000,8,42
mem_ovh_023,MEM_OVH,20,0.194737,6.637119,0.422222,8,42
mem_ovh_024,MEM_OVH,20,0.200000,6.692521,0.444444,8,42
mem_ovh_025,MEM_OVH,20,0.194737,6.637119,0.422222,8,42
mem_ovh_026,MEM_OVH,20,0.194737,5.562327,0.400000,8,42
mem_ovh_027,MEM_OVH,20,0.189474,4.975069,0.422222,8,42
mem_ovh_028,MEM_OVH,20,0.194737,7.058172,0.422222,8,42
mem_ovh_029,MEM_OVH,20,0.189474,6.110803,0.422222,8,42
mem_ovh_030,MEM_OVH,20,0.189474,6.404432,0.400000,8,42
mem_ovh_031,MEM_OVH,20,0.189474,5.058172,0.422222,8,42
mem_ovh_032,MEM_OVH,20,0.200000,6.448753,0.444444,8,42
mem_ovh_033,MEM_OVH,20,0.200000,6.692521,0.444444,8,42
mem_ovh_034,MEM_OVH,20,0.194737,6.193906,0.422222,8,42
mem_ovh_035,MEM_OVH,20,0.189474,6.409972,0.422222,8,42
mem_ovh_036,MEM_OVH,20,0.194737,5.667590,0.444444,8,42
mem_ovh_037,MEM_OVH,20,0.184211,5.113573,0.422222,8,42
mem_ovh_038,MEM_OVH,20,0.194737,6.637119,0.422222,8,42
mem_ovh_039,MEM_OVH,20,0.200000,6.692521,0.444444,8,42
