run_id,label,n,ods,gap_var,first_half_ods
baseline_000,BASELINE,20,0.005263,0.049861,0.022222
baseline_001,BASELINE,20,0.005263,0.049861,0.022222
baseline_002,BASELINE,20,0.005263,0.049861,0.022222
baseline_003,BASELINE,20,0.010526,0.132964,0.044444
baseline_004,BASELINE,20,0.005263,0.094183,0.000000
baseline_005,BASELINE,20,0.015789,0.404432,0.066667
baseline_006,BASELINE,20,0.005263,0.049861,0.022222
baseline_007,BASELINE,20,0.005263,0.049861,0.022222
baseline_008,BASELINE,20,0.010526,0.132964,0.044444
baseline_009,BASELINE,20,0.000000,0.000000,0.000000
baseline_010,BASELINE,20,0.010526,0.271468,0.044444
baseline_011,BASELINE,20,0.000000,0.000000,0.000000
baseline_012,BASELINE,20,0.000000,0.000000,0.000000
baseline_013,BASELINE,20,0.000000,0.000000,0.000000
baseline_014,BASELINE,20,0.000000,0.000000,0.000000
baseline_015,BASELINE,20,0.010526,0.238227,0.044444
baseline_016,BASELINE,20,0.005263,0.094183,0.000000
baseline_017,BASELINE,20,0.005263,0.094183,0.022222
baseline_018,BASELINE,20,0.000000,0.000000,0.000000
baseline_019,BASELINE,20,0.010526,0.238227,0.044444
baseline_020,BASELINE,20,0.000000,0.000000,0.000000
baseline_021,BASELINE,20,0.000000,0.000000,0.000000
baseline_022,BASELINE,20,0.010526,0.094183,0.022222
baseline_023,BASELINE,20,0.021053,0.232687,0.044444
baseline_024,BASELINE,20,0.000000,0.000000,0.000000
baseline_025,BASELINE,20,0.010526,0.166205,0.044444
baseline_026,BASELINE,20,0.000000,0.000000,0.000000
baseline_027,BASELINE,20,0.010526,0.238227,0.044444
baseline_028,BASELINE,20,0.010526,0.166205,0.044444
baseline_029,BASELINE,20,0.000000,0.000000,0.000000
baseline_030,BASELINE,20,0.000000,0.000000,0.000000
baseline_031,BASELINE,20,0.005263,0.094183,0.022222
baseline_032,BASELINE,20,0.005263,0.049861,0.022222
baseline_033,BASELINE,20,0.000000,0.000000,0.000000
baseline_034,BASELINE,20,0.010526,0.166205,0.044444
baseline_035,BASELINE,20,0.000000,0.000000,0.000000
baseline_036,BASELINE,20,0.005263,0.094183,0.022222
baseline_037,BASELINE,20,0.005263,0.049861,0.022222
baseline_038,BASELINE,20,0.005263,0.094183,0.000000
baseline_039,BASELINE,20,0.010526,0.166205,0.022222
baseline_040,BASELINE,20,0.005263,0.094183,0.022222
