run_id,label,n,ods,gap_var,first_half_ods
cpu_att_000,CPU_ATT,20,0.036842,0.825485,0.066667
cpu_att_001,CPU_ATT,20,0.031579,0.349030,0.088889
cpu_att_002,CPU_ATT,20,0.036842,0.509695,0.088889
cpu_att_003,CPU_ATT,20,0.047368,1.146814,0.111111
cpu_att_004,CPU_ATT,20,0.031579,0.548476,0.066667
cpu_att_005,CPU_ATT,20,0.047368,1.146814,0.066667
cpu_att_006,CPU_ATT,20,0.015789,0.193906,0.022222
cpu_att_007,CPU_ATT,20,0.026316,0.354571,0.088889
cpu_att_008,CPU_ATT,20,0.031579,0.759003,0.088889
cpu_att_009,CPU_ATT,20,0.042105,0.797784,0.088889
cpu_att_010,CPU_ATT,20,0.031579,0.443213,0.066667
cpu_att_011,CPU_ATT,20,0.042105,2.903047,0.044444
cpu_att_012,CPU_ATT,20,0.031579,0.354571,0.022222
cpu_att_013,CPU_ATT,20,0.031579,0.653740,0.111111
cpu_att_014,CPU_ATT,20,0.036842,0.742382,0.088889
cpu_att_015,CPU_ATT,20,0.042105,0.975069,0.111111
cpu_att_016,CPU_ATT,20,0.010526,0.166205,0.022222
cpu_att_017,CPU_ATT,20,0.063158,1.922438,0.066667
cpu_att_018,CPU_ATT,20,0.047368,1.146814,0.088889
cpu_att_019,CPU_ATT,20,0.000000,0.000000,0.000000
cpu_att_020,CPU_ATT,20,0.026316,0.459834,0.088889
cpu_att_021,CPU_ATT,20,0.073684,4.094183,0.088889
cpu_att_022,CPU_ATT,20,0.015789,0.299169,0.022222
cpu_att_023,CPU_ATT,20,0.021053,0.337950,0.022222
cpu_att_024,CPU_ATT,20,0.010526,0.094183,0.022222
cpu_att_025,CPU_ATT,20,0.005263,0.049861,0.022222
cpu_att_026,CPU_ATT,20,0.036842,1.163435,0.044444
cpu_att_027,CPU_ATT,20,0.010526,0.166205,0.022222
cpu_att_028,CPU_ATT,20,0.026316,0.349030,0.022222
