run_id,label,n,ods,gap_var,first_half_ods,scrub_window,scrub_seed
cpu_att_000,CPU_ATT,20,0.368421,15.822715,0.577778,16,42
cpu_att_001,CPU_ATT,20,0.384211,17.041551,0.622222,16,42
cpu_att_002,CPU_ATT,20,0.368421,18.166205,0.600000,16,42
cpu_att_003,CPU_ATT,20,0.394737,18.692521,0.577778,16,42
cpu_att_004,CPU_ATT,20,0.378947,22.587258,0.600000,16,42
cpu_att_005,CPU_ATT,20,0.363158,16.831025,0.533333,16,42
cpu_att_006,CPU_ATT,20,0.389474,18.155125,0.622222,16,42
cpu_att_007,CPU_ATT,20,0.373684,16.930748,0.600000,16,42
cpu_att_008,CPU_ATT,20,0.357895,16.764543,0.622222,16,42
cpu_att_009,CPU_ATT,20,0.352632,14.554017,0.555556,16,42
cpu_att_010,CPU_ATT,20,0.378947,20.354571,0.511111,16,42
cpu_att_011,CPU_ATT,20,0.378947,15.373961,0.577778,16,42
cpu_att_012,CPU_ATT,20,0.378947,17.839335,0.533333,16,42
cpu_att_013,CPU_ATT,20,0.368421,20.576177,0.511111,16,42
cpu_att_014,CPU_ATT,20,0.357895,15.922438,0.577778,16,42
cpu_att_015,CPU_ATT,20,0.373684,18.404432,0.622222,16,42
cpu_att_016,CPU_ATT,20,0.373684,17.418283,0.577778,16,42
cpu_att_017,CPU_ATT,20,0.373684,15.717452,0.555556,16,42
cpu_att_018,CPU_ATT,20,0.394737,18.404432,0.622222,16,42
cpu_att_019,CPU_ATT,20,0.357895,18.033241,0.555556,16,42
cpu_att_020,CPU_ATT,20,0.384211,16.614958,0.577778,16,42
cpu_att_021,CPU_ATT,20,0.378947,18.144044,0.533333,16,42
cpu_att_022,CPU_ATT,20,0.373684,20.105263,0.600000,16,42
cpu_att_023,CPU_ATT,20,0.347368,14.565097,0.533333,16,42
cpu_att_024,CPU_ATT,20,0.384211,18.930748,0.622222,16,42
cpu_att_025,CPU_ATT,20,0.368421,22.365651,0.511111,16,42
cpu_att_026,CPU_ATT,20,0.368421,18.952909,0.577778,16,42
cpu_att_027,CPU_ATT,20,0.368421,13.717452,0.555556,16,42
cpu_att_028,CPU_ATT,20,0.378947,19.252078,0.533333,16,42
cpu_att_029,CPU_ATT,20,0.378947,20.980609,0.533333,16,42
cpu_att_030,CPU_ATT,20,0.373684,14.470914,0.577778,16,42
cpu_att_031,CPU_ATT,20,0.394737,21.778393,0.577778,16,42
cpu_att_032,CPU_ATT,20,0.336842,17.601108,0.533333,16,42
cpu_att_033,CPU_ATT,20,0.363158,20.459834,0.533333,16,42
cpu_att_034,CPU_ATT,20,0.342105,14.930748,0.533333,16,42
cpu_att_035,CPU_ATT,20,0.368421,18.869806,0.555556,16,42
cpu_att_036,CPU_ATT,20,0.400000,16.875346,0.577778,16,42
cpu_att_037,CPU_ATT,20,0.378947,20.094183,0.533333,16,42
cpu_att_038,CPU_ATT,20,0.368421,18.869806,0.577778,16,42
cpu_att_039,CPU_ATT,20,0.394737,17.207756,0.622222,16,42
cpu_att_040,CPU_ATT,20,0.357895,12.199446,0.577778,16,42
cpu_att_041,CPU_ATT,20,0.357895,15.828255,0.577778,16,42
cpu_att_042,CPU_ATT,20,0.368421,15.673130,0.533333,16,42
cpu_att_043,CPU_ATT,20,0.373684,16.459834,0.533333,16,42
cpu_att_044,CPU_ATT,20,0.384211,20.576177,0.533333,16,42
cpu_att_045,CPU_ATT,20,0.363158,19.495845,0.511111,16,42
cpu_att_046,CPU_ATT,20,0.342105,14.930748,0.533333,16,42
cpu_att_047,CPU_ATT,20,0.347368,14.565097,0.533333,16,42
cpu_att_048,CPU_ATT,20,0.378947,19.163435,0.555556,16,42
cpu_att_049,CPU_ATT,20,0.357895,19.772853,0.555556,16,42
cpu_att_050,CPU_ATT,20,0.368421,18.260388,0.600000,16,42
cpu_att_051,CPU_ATT,20,0.373684,19.817175,0.600000,16,42
cpu_att_052,CPU_ATT,20,0.347368,14.565097,0.533333,16,42
cpu_att_053,CPU_ATT,20,0.357895,14.448753,0.555556,16,42
cpu_att_054,CPU_ATT,20,0.368421,15.263158,0.533333,16,42
cpu_att_055,CPU_ATT,20,0.373684,21.418283,0.511111,16,42
cpu_att_056,CPU_ATT,20,0.368421,19.180055,0.555556,16,42
cpu_att_057,CPU_ATT,20,0.368421,19.085873,0.533333,16,42
cpu_att_058,CPU_ATT,20,0.373684,20.354571,0.577778,16,42
cpu_att_059,CPU_ATT,20,0.347368,14.565097,0.533333,16,42
cpu_att_060,CPU_ATT,20,0.357895,14.448753,0.555556,16,42
cpu_att_061,CPU_ATT,20,0.394737,20.664820,0.600000,16,42
cpu_att_062,CPU_ATT,20,0.389474,18.155125,0.622222,16,42
cpu_att_063,CPU_ATT,20,0.400000,19.080332,0.622222,16,42
cpu_att_064,CPU_ATT,20,0.378947,18.166205,0.600000,16,42
cpu_att_065,CPU_ATT,20,0.378947,18.404432,0.577778,16,42
cpu_att_066,CPU_ATT,20,0.384211,22.554017,0.577778,16,42
cpu_att_067,CPU_ATT,20,0.363158,16.349030,0.577778,16,42
cpu_att_068,CPU_ATT,20,0.363158,13.495845,0.577778,16,42
cpu_att_069,CPU_ATT,20,0.384211,18.842105,0.622222,16,42
cpu_att_070,CPU_ATT,20,0.363158,14.742382,0.555556,16,42
cpu_att_071,CPU_ATT,20,0.384211,15.324100,0.600000,16,42
cpu_att_072,CPU_ATT,20,0.378947,16.232687,0.577778,16,42
cpu_att_073,CPU_ATT,20,0.394737,18.404432,0.622222,16,42
cpu_att_074,CPU_ATT,20,0.368421,15.263158,0.533333,16,42
cpu_att_075,CPU_ATT,20,0.342105,14.930748,0.533333,16,42
cpu_att_076,CPU_ATT,20,0.373684,18.337950,0.644444,16,42
cpu_att_077,CPU_ATT,20,0.368421,16.952909,0.555556,16,42
cpu_att_078,CPU_ATT,20,0.368421,17.457064,0.577778,16,42
cpu_att_079,CPU_ATT,20,0.384211,17.285319,0.577778,16,42
cpu_att_080,CPU_ATT,20,0.384211,15.052632,0.533333,16,42
cpu_att_081,CPU_ATT,20,0.378947,14.354571,0.533333,16,42
cpu_att_082,CPU_ATT,20,0.347368,14.565097,0.533333,16,42
cpu_att_083,CPU_ATT,20,0.363158,16.199446,0.533333,16,42
cpu_att_084,CPU_ATT,20,0.368421,17.268698,0.555556,16,42
cpu_att_085,CPU_ATT,20,0.378947,17.008310,0.577778,16,42
cpu_att_086,CPU_ATT,20,0.368421,19.617729,0.555556,16,42
cpu_att_087,CPU_ATT,20,0.373684,17.900277,0.577778,16,42
cpu_att_088,CPU_ATT,20,0.357895,18.869806,0.533333,16,42
cpu_att_089,CPU_ATT,20,0.373684,21.373961,0.555556,16,42
cpu_att_090,CPU_ATT,20,0.378947,18.470914,0.600000,16,42
cpu_att_091,CPU_ATT,20,0.368421,21.789474,0.511111,16,42
cpu_att_092,CPU_ATT,20,0.373684,17.878116,0.577778,16,42
cpu_att_093,CPU_ATT,20,0.368421,17.457064,0.577778,16,42
cpu_att_094,CPU_ATT,20,0.373684,20.193906,0.555556,16,42
cpu_att_095,CPU_ATT,20,0.352632,16.193906,0.533333,16,42
cpu_att_096,CPU_ATT,20,0.378947,18.659280,0.600000,16,42
cpu_att_097,CPU_ATT,20,0.357895,17.008310,0.555556,16,42
cpu_att_098,CPU_ATT,20,0.389474,18.481994,0.555556,16,42
cpu_att_099,CPU_ATT,20,0.347368,15.080332,0.555556,16,42
mem_att_000,MEM_ATT,20,0.378947,17.722992,0.577778,16,42
mem_att_001,MEM_ATT,20,0.368421,18.869806,0.555556,16,42
mem_att_002,MEM_ATT,20,0.352632,15.157895,0.577778,16,42
mem_att_003,MEM_ATT,20,0.363158,17.501385,0.622222,16,42
mem_att_004,MEM_ATT,20,0.373684,15.113573,0.488889,16,42
mem_att_005,MEM_ATT,20,0.357895,19.745152,0.600000,16,42
mem_att_006,MEM_ATT,20,0.363158,19.584488,0.577778,16,42
mem_att_007,MEM_ATT,20,0.368421,19.102493,0.600000,16,42
mem_att_008,MEM_ATT,20,0.373684,17.628809,0.622222,16,42
mem_att_009,MEM_ATT,20,0.405263,20.980609,0.600000,16,42
mem_att_010,MEM_ATT,20,0.347368,13.252078,0.488889,16,42
mem_att_011,MEM_ATT,20,0.368421,18.869806,0.622222,16,42
mem_att_012,MEM_ATT,20,0.363158,18.000000,0.600000,16,42
mem_att_013,MEM_ATT,20,0.363158,19.628809,0.600000,16,42
mem_att_014,MEM_ATT,20,0.373684,16.587258,0.600000,16,42
mem_att_015,MEM_ATT,20,0.363158,16.299169,0.577778,16,42
mem_att_016,MEM_ATT,20,0.363158,18.027701,0.600000,16,42
mem_att_017,MEM_ATT,20,0.378947,16.975069,0.600000,16,42
mem_att_018,MEM_ATT,20,0.363158,19.584488,0.577778,16,42
mem_att_019,MEM_ATT,20,0.373684,17.479224,0.555556,16,42
mem_att_020,MEM_ATT,20,0.352632,15.418283,0.533333,16,42
mem_att_021,MEM_ATT,20,0.368421,16.725762,0.600000,16,42
mem_att_022,MEM_ATT,20,0.347368,15.711911,0.466667,16,42
mem_att_023,MEM_ATT,20,0.373684,15.036011,0.600000,16,42
mem_att_024,MEM_ATT,20,0.336842,15.008310,0.488889,16,42
mem_att_025,MEM_ATT,20,0.373684,14.653740,0.555556,16,42
mem_att_026,MEM_ATT,20,0.384211,17.102493,0.644444,16,42
mem_att_027,MEM_ATT,20,0.384211,18.692521,0.577778,16,42
mem_att_028,MEM_ATT,20,0.400000,20.337950,0.577778,16,42
mem_att_029,MEM_ATT,20,0.363158,12.409972,0.488889,16,42
mem_att_030,MEM_ATT,20,0.357895,18.421053,0.600000,16,42
mem_att_031,MEM_ATT,20,0.342105,13.883657,0.466667,16,42
mem_att_032,MEM_ATT,20,0.373684,17.922438,0.600000,16,42
mem_att_033,MEM_ATT,20,0.357895,13.396122,0.511111,16,42
mem_att_034,MEM_ATT,20,0.336842,14.742382,0.488889,16,42
mem_att_035,MEM_ATT,20,0.336842,15.246537,0.488889,16,42
mem_att_036,MEM_ATT,20,0.357895,19.745152,0.600000,16,42
mem_att_037,MEM_ATT,20,0.368421,19.102493,0.600000,16,42
mem_att_038,MEM_ATT,20,0.415789,14.193906,0.577778,16,42
mem_att_039,MEM_ATT,20,0.368421,14.481994,0.488889,16,42
mem_att_040,MEM_ATT,20,0.363158,17.368421,0.577778,16,42
mem_att_041,MEM_ATT,20,0.357895,14.000000,0.488889,16,42
mem_att_042,MEM_ATT,20,0.368421,18.105263,0.600000,16,42
mem_att_043,MEM_ATT,20,0.347368,12.742382,0.488889,16,42
mem_att_044,MEM_ATT,20,0.373684,18.975069,0.555556,16,42
mem_att_045,MEM_ATT,20,0.357895,19.745152,0.600000,16,42
mem_att_046,MEM_ATT,20,0.368421,19.102493,0.600000,16,42
mem_att_047,MEM_ATT,20,0.378947,18.952909,0.600000,16,42
mem_att_048,MEM_ATT,20,0.357895,18.216066,0.577778,16,42
mem_att_049,MEM_ATT,20,0.384211,17.263158,0.555556,16,42
mem_att_050,MEM_ATT,20,0.363158,18.000000,0.600000,16,42
mem_att_051,MEM_ATT,20,0.373684,19.146814,0.555556,16,42
mem_att_052,MEM_ATT,20,0.347368,14.565097,0.488889,16,42
mem_att_053,MEM_ATT,20,0.378947,16.515235,0.488889,16,42
mem_att_054,MEM_ATT,20,0.342105,14.847645,0.488889,16,42
mem_att_055,MEM_ATT,20,0.378947,16.515235,0.488889,16,42
mem_att_056,MEM_ATT,20,0.363158,19.628809,0.600000,16,42
mem_att_057,MEM_ATT,20,0.368421,19.102493,0.600000,16,42
mem_att_058,MEM_ATT,20,0.363158,15.983380,0.577778,16,42
mem_att_059,MEM_ATT,20,0.384211,17.495845,0.622222,16,42
mem_att_060,MEM_ATT,20,0.415789,14.193906,0.577778,16,42
mem_att_061,MEM_ATT,20,0.352632,16.000000,0.577778,16,42
mem_att_062,MEM_ATT,20,0.373684,17.562327,0.577778,16,42
mem_att_063,MEM_ATT,20,0.363158,14.952909,0.488889,16,42
mem_att_064,MEM_ATT,20,0.378947,18.842105,0.577778,16,42
mem_att_065,MEM_ATT,20,0.368421,20.936288,0.577778,16,42
mem_att_066,MEM_ATT,20,0.352632,19.290859,0.600000,16,42
mem_att_067,MEM_ATT,20,0.368421,19.102493,0.600000,16,42
mem_att_068,MEM_ATT,20,0.368421,19.102493,0.600000,16,42
mem_att_069,MEM_ATT,20,0.378947,18.404432,0.577778,16,42
mem_att_070,MEM_ATT,20,0.400000,16.232687,0.644444,16,42
mem_att_071,MEM_ATT,20,0.415789,14.193906,0.577778,16,42
mem_att_072,MEM_ATT,20,0.368421,16.260388,0.622222,16,42
mem_att_073,MEM_ATT,20,0.400000,20.786704,0.600000,16,42
mem_att_074,MEM_ATT,20,0.378947,20.060942,0.555556,16,42
mem_att_075,MEM_ATT,20,0.363158,17.268698,0.577778,16,42
mem_att_076,MEM_ATT,20,0.400000,20.554017,0.600000,16,42
mem_att_077,MEM_ATT,20,0.336842,15.811634,0.488889,16,42
mem_att_078,MEM_ATT,20,0.342105,15.988920,0.466667,16,42
mem_att_079,MEM_ATT,20,0.373684,18.975069,0.622222,16,42
mem_att_080,MEM_ATT,20,0.373684,17.878116,0.577778,16,42
mem_att_081,MEM_ATT,20,0.378947,17.734072,0.577778,16,42
mem_att_082,MEM_ATT,20,0.336842,14.692521,0.466667,16,42
