run_id,label,n,ods,gap_var,first_half_ods,scrub_window,scrub_seed
mem_pure_ovh_000,MEM_PURE_OVH,20,0.273684,6.443213,0.600000,12,42
mem_pure_ovh_001,MEM_PURE_OVH,20,0.278947,5.745152,0.622222,12,42
mem_pure_ovh_002,MEM_PURE_OVH,20,0.278947,5.745152,0.622222,12,42
mem_pure_ovh_003,MEM_PURE_OVH,20,0.273684,5.900277,0.622222,12,42
mem_pure_ovh_004,MEM_PURE_OVH,20,0.278947,5.900277,0.622222,12,42
mem_pure_ovh_005,MEM_PURE_OVH,20,0.278947,6.720222,0.622222,12,42
mem_pure_ovh_006,MEM_PURE_OVH,20,0.273684,6.299169,0.600000,12,42
mem_pure_ovh_007,MEM_PURE_OVH,20,0.268421,5.667590,0.600000,12,42
mem_pure_ovh_008,MEM_PURE_OVH,20,0.273684,6.770083,0.600000,12,42
mem_pure_ovh_009,MEM_PURE_OVH,20,0.273684,6.299169,0.600000,12,42
mem_pure_ovh_010,MEM_PURE_OVH,20,0.247368,6.321330,0.600000,12,42
mem_pure_ovh_011,MEM_PURE_OVH,20,0.268421,5.290859,0.600000,12,42
mem_pure_ovh_012,MEM_PURE_OVH,20,0.273684,6.299169,0.600000,12,42
mem_pure_ovh_013,MEM_PURE_OVH,20,0.263158,6.481994,0.600000,12,42
mem_pure_ovh_014,MEM_PURE_OVH,20,0.273684,6.299169,0.600000,12,42
mem_pure_ovh_015,MEM_PURE_OVH,20,0.273684,6.299169,0.600000,12,42
mem_pure_ovh_016,MEM_PURE_OVH,20,0.263158,5.927978,0.577778,12,42
mem_pure_ovh_017,MEM_PURE_OVH,20,0.268421,5.667590,0.600000,12,42
mem_pure_ovh_018,MEM_PURE_OVH,20,0.273684,6.299169,0.600000,12,42
mem_pure_ovh_019,MEM_PURE_OVH,20,0.273684,6.299169,0.600000,12,42
mem_pure_ovh_020,MEM_PURE_OVH,20,0.273684,6.299169,0.600000,12,42
mem_pure_ovh_021,MEM_PURE_OVH,20,0.263158,5.878116,0.600000,12,42
mem_pure_ovh_022,MEM_PURE_OVH,20,0.273684,6.299169,0.600000,12,42
mem_pure_ovh_023,MEM_PURE_OVH,20,0.263158,5.878116,0.600000,12,42
mem_pure_ovh_024,MEM_PURE_OVH,20,0.273684,6.299169,0.600000,12,42
mem_pure_ovh_025,MEM_PURE_OVH,20,0.268421,5.667590,0.600000,12,42
