run_id,label,n,ods,gap_var,first_half_ods,scrub_window,scrub_seed
cpu_att_000,CPU_ATT,20,0.021053,0.349030,0.066667,0,42
cpu_att_001,CPU_ATT,20,0.036842,0.653740,0.088889,0,42
cpu_att_002,CPU_ATT,20,0.021053,0.653740,0.022222,0,42
cpu_att_003,CPU_ATT,20,0.005263,0.094183,0.022222,0,42
cpu_att_004,CPU_ATT,20,0.052632,0.786704,0.111111,0,42
cpu_att_005,CPU_ATT,20,0.063158,1.983380,0.155556,0,42
cpu_att_006,CPU_ATT,20,0.047368,1.778393,0.111111,0,42
cpu_att_007,CPU_ATT,20,0.057895,1.418283,0.155556,0,42
cpu_att_008,CPU_ATT,20,0.026316,1.091413,0.111111,0,42
cpu_att_009,CPU_ATT,20,0.057895,1.462604,0.155556,0,42
cpu_att_010,CPU_ATT,20,0.005263,0.094183,0.022222,0,42
cpu_att_011,CPU_ATT,20,0.010526,0.166205,0.022222,0,42
cpu_att_012,CPU_ATT,20,0.005263,0.049861,0.022222,0,42
cpu_att_013,CPU_ATT,20,0.063158,1.778393,0.155556,0,42
cpu_att_014,CPU_ATT,20,0.047368,3.462604,0.155556,0,42
cpu_att_015,CPU_ATT,20,0.031579,0.459834,0.066667,0,42
cpu_att_016,CPU_ATT,20,0.042105,1.396122,0.133333,0,42
cpu_att_017,CPU_ATT,20,0.005263,0.094183,0.022222,0,42
cpu_att_018,CPU_ATT,20,0.036842,1.141274,0.044444,0,42
cpu_att_019,CPU_ATT,20,0.042105,0.481994,0.111111,0,42
cpu_att_020,CPU_ATT,20,0.042105,0.903047,0.066667,0,42
cpu_att_021,CPU_ATT,20,0.026316,0.459834,0.088889,0,42
cpu_att_022,CPU_ATT,20,0.036842,1.163435,0.133333,0,42
cpu_att_023,CPU_ATT,20,0.063158,2.238227,0.177778,0,42
cpu_att_024,CPU_ATT,20,0.057895,1.462604,0.155556,0,42
cpu_att_025,CPU_ATT,20,0.036842,0.426593,0.088889,0,42
cpu_att_026,CPU_ATT,20,0.047368,0.975069,0.111111,0,42
cpu_att_027,CPU_ATT,20,0.042105,0.554017,0.066667,0,42
cpu_att_028,CPU_ATT,20,0.031579,0.670360,0.022222,0,42
cpu_att_029,CPU_ATT,20,0.015789,0.166205,0.022222,0,42
cpu_att_030,CPU_ATT,20,0.052632,1.207756,0.133333,0,42
cpu_att_031,CPU_ATT,20,0.031579,0.664820,0.088889,0,42
cpu_att_032,CPU_ATT,20,0.010526,0.238227,0.000000,0,42
cpu_att_033,CPU_ATT,20,0.005263,0.094183,0.022222,0,42
cpu_att_034,CPU_ATT,20,0.063158,1.606648,0.155556,0,42
cpu_att_035,CPU_ATT,20,0.063158,2.797784,0.177778,0,42
cpu_att_036,CPU_ATT,20,0.005263,0.094183,0.022222,0,42
cpu_att_037,CPU_ATT,20,0.057895,1.418283,0.155556,0,42
cpu_att_038,CPU_ATT,20,0.036842,1.036011,0.111111,0,42
cpu_att_039,CPU_ATT,20,0.026316,0.459834,0.022222,0,42
cpu_att_040,CPU_ATT,20,0.047368,1.778393,0.111111,0,42
cpu_att_041,CPU_ATT,20,0.057895,1.418283,0.155556,0,42
cpu_att_042,CPU_ATT,20,0.057895,1.462604,0.155556,0,42
cpu_att_043,CPU_ATT,20,0.042105,1.639889,0.133333,0,42
cpu_att_044,CPU_ATT,20,0.010526,0.132964,0.044444,0,42
