run_id,label,n,ods,gap_var,first_half_ods,scrub_window,scrub_seed
cpu_ovh_000,CPU_OVH,20,0.384211,16.448753,0.577778,16,42
cpu_ovh_001,CPU_OVH,20,0.378947,17.207756,0.577778,16,42
cpu_ovh_002,CPU_OVH,20,0.368421,18.869806,0.555556,16,42
cpu_ovh_003,CPU_OVH,20,0.368421,15.900277,0.533333,16,42
cpu_ovh_004,CPU_OVH,20,0.373684,16.930748,0.555556,16,42
cpu_ovh_005,CPU_OVH,20,0.363158,17.850416,0.533333,16,42
cpu_ovh_006,CPU_OVH,20,0.373684,15.916898,0.577778,16,42
cpu_ovh_007,CPU_OVH,20,0.378947,16.653740,0.577778,16,42
cpu_ovh_008,CPU_OVH,20,0.373684,16.138504,0.555556,16,42
cpu_ovh_009,CPU_OVH,20,0.373684,17.562327,0.555556,16,42
cpu_ovh_010,CPU_OVH,20,0.357895,14.426593,0.555556,16,42
cpu_ovh_011,CPU_OVH,20,0.368421,14.952909,0.533333,16,42
cpu_ovh_012,CPU_OVH,20,0.384211,18.936288,0.555556,16,42
cpu_ovh_013,CPU_OVH,20,0.373684,16.426593,0.533333,16,42
cpu_ovh_014,CPU_OVH,20,0.363158,15.218837,0.577778,16,42
cpu_ovh_015,CPU_OVH,20,0.373684,18.975069,0.555556,16,42
cpu_ovh_016,CPU_OVH,20,0.368421,16.952909,0.555556,16,42
cpu_ovh_017,CPU_OVH,20,0.373684,15.102493,0.555556,16,42
cpu_ovh_018,CPU_OVH,20,0.373684,15.163435,0.577778,16,42
cpu_ovh_019,CPU_OVH,20,0.368421,14.664820,0.555556,16,42
cpu_ovh_020,CPU_OVH,20,0.368421,15.418283,0.555556,16,42
cpu_ovh_021,CPU_OVH,20,0.373684,15.578947,0.577778,16,42
cpu_ovh_022,CPU_OVH,20,0.368421,15.772853,0.555556,16,42
cpu_ovh_023,CPU_OVH,20,0.368421,15.567867,0.555556,16,42
cpu_ovh_024,CPU_OVH,20,0.373684,14.786704,0.555556,16,42
cpu_ovh_025,CPU_OVH,20,0.384211,14.238227,0.555556,16,42
cpu_ovh_026,CPU_OVH,20,0.373684,15.578947,0.577778,16,42
cpu_ovh_027,CPU_OVH,20,0.384211,18.260388,0.577778,16,42
cpu_ovh_028,CPU_OVH,20,0.384211,15.584488,0.577778,16,42
cpu_ovh_029,CPU_OVH,20,0.373684,15.916898,0.577778,16,42
cpu_ovh_030,CPU_OVH,20,0.384211,16.027701,0.577778,16,42
cpu_ovh_031,CPU_OVH,20,0.363158,14.426593,0.533333,16,42
cpu_ovh_032,CPU_OVH,20,0.363158,18.271468,0.533333,16,42
cpu_ovh_033,CPU_OVH,20,0.373684,17.878116,0.577778,16,42
cpu_ovh_034,CPU_OVH,20,0.363158,17.606648,0.555556,16,42
cpu_ovh_035,CPU_OVH,20,0.373684,15.778393,0.533333,16,42
cpu_ovh_036,CPU_OVH,20,0.352632,14.005540,0.555556,16,42
cpu_ovh_037,CPU_OVH,20,0.384211,15.584488,0.577778,16,42
cpu_ovh_038,CPU_OVH,20,0.368421,17.457064,0.577778,16,42
cpu_ovh_039,CPU_OVH,20,0.378947,18.155125,0.577778,16,42
cpu_ovh_040,CPU_OVH,20,0.373684,17.418283,0.577778,16,42
cpu_ovh_041,CPU_OVH,20,0.373684,16.155125,0.555556,16,42
cpu_ovh_042,CPU_OVH,20,0.373684,17.878116,0.577778,16,42
cpu_ovh_043,CPU_OVH,20,0.378947,18.404432,0.577778,16,42
cpu_ovh_044,CPU_OVH,20,0.378947,17.734072,0.577778,16,42
cpu_ovh_045,CPU_OVH,20,0.389474,19.462604,0.555556,16,42
cpu_ovh_046,CPU_OVH,20,0.363158,13.180055,0.555556,16,42
cpu_ovh_047,CPU_OVH,20,0.373684,15.180055,0.577778,16,42
cpu_ovh_048,CPU_OVH,20,0.373684,17.246537,0.577778,16,42
cpu_ovh_049,CPU_OVH,20,0.378947,17.562327,0.555556,16,42
cpu_ovh_050,CPU_OVH,20,0.389474,17.523546,0.555556,16,42
cpu_ovh_051,CPU_OVH,20,0.378947,17.734072,0.577778,16,42
cpu_ovh_052,CPU_OVH,20,0.368421,14.997230,0.577778,16,42
cpu_ovh_053,CPU_OVH,20,0.363158,17.606648,0.555556,16,42
cpu_ovh_054,CPU_OVH,20,0.373684,14.759003,0.577778,16,42
cpu_ovh_055,CPU_OVH,20,0.368421,16.614958,0.577778,16,42
cpu_ovh_056,CPU_OVH,20,0.384211,18.193906,0.555556,16,42
cpu_ovh_057,CPU_OVH,20,0.373684,17.628809,0.555556,16,42
cpu_ovh_058,CPU_OVH,20,0.373684,16.315789,0.577778,16,42
