run_id,label,n,ods,gap_var,first_half_ods,scrub_window,scrub_seed
mem_ovh_000,MEM_OVH,20,0.363158,14.243767,0.555556,16,42
mem_ovh_001,MEM_OVH,20,0.378947,15.495845,0.555556,16,42
mem_ovh_002,MEM_OVH,20,0.368421,16.531856,0.533333,16,42
mem_ovh_003,MEM_OVH,20,0.373684,17.008310,0.577778,16,42
mem_ovh_004,MEM_OVH,20,0.389474,19.462604,0.555556,16,42
mem_ovh_005,MEM_OVH,20,0.363158,16.299169,0.577778,16,42
mem_ovh_006,MEM_OVH,20,0.373684,16.470914,0.577778,16,42
mem_ovh_007,MEM_OVH,20,0.373684,14.786704,0.533333,16,42
mem_ovh_008,MEM_OVH,20,0.373684,16.365651,0.533333,16,42
mem_ovh_009,MEM_OVH,20,0.384211,17.373961,0.577778,16,42
mem_ovh_010,MEM_OVH,20,0.373684,17.628809,0.555556,16,42
mem_ovh_011,MEM_OVH,20,0.384211,16.653740,0.577778,16,42
mem_ovh_012,MEM_OVH,20,0.373684,17.102493,0.577778,16,42
mem_ovh_013,MEM_OVH,20,0.384211,16.027701,0.577778,16,42
mem_ovh_014,MEM_OVH,20,0.357895,15.479224,0.555556,16,42
mem_ovh_015,MEM_OVH,20,0.363158,15.983380,0.555556,16,42
mem_ovh_016,MEM_OVH,20,0.368421,17.457064,0.577778,16,42
mem_ovh_017,MEM_OVH,20,0.357895,14.825485,0.577778,16,42
mem_ovh_018,MEM_OVH,20,0.378947,17.418283,0.577778,16,42
mem_ovh_019,MEM_OVH,20,0.384211,16.166205,0.555556,16,42
mem_ovh_020,MEM_OVH,20,0.368421,14.681440,0.533333,16,42
mem_ovh_021,MEM_OVH,20,0.384211,17.285319,0.577778,16,42
mem_ovh_022,MEM_OVH,20,0.368421,17.036011,0.577778,16,42
mem_ovh_023,MEM_OVH,20,0.363158,16.531856,0.555556,16,42
mem_ovh_024,MEM_OVH,20,0.373684,15.578947,0.577778,16,42
mem_ovh_025,MEM_OVH,20,0.368421,17.457064,0.577778,16,42
mem_ovh_026,MEM_OVH,20,0.368421,16.110803,0.533333,16,42
mem_ovh_027,MEM_OVH,20,0.378947,16.653740,0.577778,16,42
mem_ovh_028,MEM_OVH,20,0.368421,19.290859,0.555556,16,42
mem_ovh_029,MEM_OVH,20,0.363158,16.531856,0.555556,16,42
mem_ovh_030,MEM_OVH,20,0.378947,18.166205,0.577778,16,42
mem_ovh_031,MEM_OVH,20,0.363158,13.822715,0.555556,16,42
mem_ovh_032,MEM_OVH,20,0.373684,18.193906,0.577778,16,42
mem_ovh_033,MEM_OVH,20,0.378947,18.155125,0.577778,16,42
mem_ovh_034,MEM_OVH,20,0.384211,16.952909,0.577778,16,42
mem_ovh_035,MEM_OVH,20,0.373684,16.409972,0.555556,16,42
mem_ovh_036,MEM_OVH,20,0.368421,17.457064,0.577778,16,42
mem_ovh_037,MEM_OVH,20,0.373684,14.576177,0.533333,16,42
mem_ovh_038,MEM_OVH,20,0.368421,17.058172,0.533333,16,42
mem_ovh_039,MEM_OVH,20,0.373684,16.315789,0.577778,16,42
mem_ovh_040,MEM_OVH,20,0.368421,17.157895,0.533333,16,42
mem_ovh_041,MEM_OVH,20,0.368421,16.720222,0.577778,16,42
mem_ovh_042,MEM_OVH,20,0.368421,17.457064,0.577778,16,42
mem_ovh_043,MEM_OVH,20,0.373684,18.193906,0.577778,16,42
mem_ovh_044,MEM_OVH,20,0.373684,17.562327,0.555556,16,42
mem_ovh_045,MEM_OVH,20,0.378947,18.299169,0.577778,16,42
mem_ovh_046,MEM_OVH,20,0.368421,16.088643,0.577778,16,42
mem_ovh_047,MEM_OVH,20,0.373684,14.659280,0.577778,16,42
mem_ovh_048,MEM_OVH,20,0.373684,17.246537,0.577778,16,42
mem_ovh_049,MEM_OVH,20,0.384211,18.692521,0.577778,16,42
mem_ovh_050,MEM_OVH,20,0.363158,15.983380,0.555556,16,42
mem_ovh_051,MEM_OVH,20,0.368421,18.470914,0.555556,16,42
mem_ovh_052,MEM_OVH,20,0.378947,18.404432,0.577778,16,42
mem_ovh_053,MEM_OVH,20,0.373684,17.878116,0.577778,16,42
mem_ovh_054,MEM_OVH,20,0.373684,17.534626,0.555556,16,42
mem_ovh_055,MEM_OVH,20,0.368421,16.088643,0.555556,16,42
mem_ovh_056,MEM_OVH,20,0.373684,18.193906,0.577778,16,42
mem_ovh_057,MEM_OVH,20,0.384211,16.952909,0.577778,16,42
mem_ovh_058,MEM_OVH,20,0.363158,16.299169,0.577778,16,42
mem_ovh_059,MEM_OVH,20,0.373684,17.252078,0.555556,16,42
mem_ovh_060,MEM_OVH,20,0.378947,16.653740,0.577778,16,42
mem_ovh_061,MEM_OVH,20,0.378947,14.448753,0.555556,16,42
mem_ovh_062,MEM_OVH,20,0.378947,17.058172,0.533333,16,42
mem_ovh_063,MEM_OVH,20,0.373684,16.232687,0.577778,16,42
mem_ovh_064,MEM_OVH,20,0.368421,15.523546,0.533333,16,42
mem_ovh_065,MEM_OVH,20,0.378947,18.193906,0.555556,16,42
mem_ovh_066,MEM_OVH,20,0.378947,16.349030,0.555556,16,42
mem_ovh_067,MEM_OVH,20,0.378947,16.232687,0.577778,16,42
mem_ovh_068,MEM_OVH,20,0.373684,17.534626,0.555556,16,42
mem_ovh_069,MEM_OVH,20,0.363158,15.058172,0.533333,16,42
mem_ovh_070,MEM_OVH,20,0.363158,16.299169,0.577778,16,42
mem_ovh_071,MEM_OVH,20,0.368421,16.515235,0.555556,16,42
mem_ovh_072,MEM_OVH,20,0.363158,16.216066,0.555556,16,42
mem_ovh_073,MEM_OVH,20,0.378947,16.000000,0.577778,16,42
mem_ovh_074,MEM_OVH,20,0.378947,15.578947,0.555556,16,42
mem_ovh_075,MEM_OVH,20,0.363158,15.983380,0.577778,16,42
mem_ovh_076,MEM_OVH,20,0.373684,17.534626,0.555556,16,42
mem_ovh_077,MEM_OVH,20,0.363158,15.373961,0.533333,16,42
mem_ovh_078,MEM_OVH,20,0.368421,17.457064,0.577778,16,42
mem_ovh_079,MEM_OVH,20,0.378947,18.155125,0.577778,16,42
mem_ovh_080,MEM_OVH,20,0.368421,18.132964,0.555556,16,42
mem_ovh_081,MEM_OVH,20,0.378947,17.368421,0.577778,16,42
mem_ovh_082,MEM_OVH,20,0.368421,15.263158,0.577778,16,42
mem_ovh_083,MEM_OVH,20,0.368421,18.869806,0.555556,16,42
mem_ovh_084,MEM_OVH,20,0.368421,16.088643,0.555556,16,42
mem_ovh_085,MEM_OVH,20,0.368421,16.576177,0.533333,16,42
mem_ovh_086,MEM_OVH,20,0.368421,17.457064,0.577778,16,42
mem_ovh_087,MEM_OVH,20,0.373684,18.193906,0.577778,16,42
mem_ovh_088,MEM_OVH,20,0.373684,16.930748,0.555556,16,42
mem_ovh_089,MEM_OVH,20,0.352632,16.376731,0.533333,16,42
mem_ovh_090,MEM_OVH,20,0.378947,18.404432,0.577778,16,42
mem_ovh_091,MEM_OVH,20,0.373684,18.975069,0.555556,16,42
mem_ovh_092,MEM_OVH,20,0.368421,17.036011,0.577778,16,42
mem_ovh_093,MEM_OVH,20,0.363158,15.772853,0.555556,16,42
mem_ovh_094,MEM_OVH,20,0.378947,18.409972,0.555556,16,42
mem_ovh_095,MEM_OVH,20,0.363158,16.299169,0.577778,16,42
mem_ovh_096,MEM_OVH,20,0.378947,16.653740,0.577778,16,42
