run_id,label,n,ods,gap_var,first_half_ods,scrub_window,scrub_seed
cpu_att_000,CPU_ATT,20,0.015789,0.299169,0.044444,0,42
cpu_att_001,CPU_ATT,20,0.010526,0.132964,0.044444,0,42
cpu_att_002,CPU_ATT,20,0.036842,0.426593,0.066667,0,42
cpu_att_003,CPU_ATT,20,0.010526,0.132964,0.044444,0,42
cpu_att_004,CPU_ATT,20,0.015789,0.193906,0.044444,0,42
cpu_att_005,CPU_ATT,20,0.021053,0.337950,0.066667,0,42
cpu_att_006,CPU_ATT,20,0.021053,0.337950,0.044444,0,42
cpu_att_007,CPU_ATT,20,0.026316,0.354571,0.088889,0,42
cpu_att_008,CPU_ATT,20,0.010526,0.132964,0.022222,0,42
cpu_att_009,CPU_ATT,20,0.021053,0.216066,0.066667,0,42
cpu_att_010,CPU_ATT,20,0.026316,0.664820,0.066667,0,42
cpu_att_011,CPU_ATT,20,0.015789,0.299169,0.044444,0,42
cpu_att_012,CPU_ATT,20,0.021053,0.653740,0.066667,0,42
cpu_att_013,CPU_ATT,20,0.021053,0.349030,0.044444,0,42
cpu_att_014,CPU_ATT,20,0.015789,0.216066,0.022222,0,42
mem_att_000,MEM_ATT,20,0.021053,0.321330,0.066667,0,42
mem_att_001,MEM_ATT,20,0.005263,0.094183,0.022222,0,42
mem_att_002,MEM_ATT,20,0.036842,0.548476,0.088889,0,42
mem_att_003,MEM_ATT,20,0.015789,0.193906,0.044444,0,42
mem_att_004,MEM_ATT,20,0.031579,0.349030,0.066667,0,42
mem_att_005,MEM_ATT,20,0.005263,0.094183,0.022222,0,42
mem_att_006,MEM_ATT,20,0.000000,0.000000,0.000000,0,42
mem_att_007,MEM_ATT,20,0.031579,1.085873,0.133333,0,42
mem_att_008,MEM_ATT,20,0.052632,1.052632,0.111111,0,42
mem_att_009,MEM_ATT,20,0.010526,0.132964,0.044444,0,42
mem_att_010,MEM_ATT,20,0.021053,0.337950,0.022222,0,42
mem_att_011,MEM_ATT,20,0.005263,0.094183,0.000000,0,42
mem_att_012,MEM_ATT,20,0.031579,0.249307,0.066667,0,42
mem_att_013,MEM_ATT,20,0.036842,1.163435,0.111111,0,42
mem_att_014,MEM_ATT,20,0.005263,0.094183,0.000000,0,42
